PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,UNIT_PRICE,COST_PRICE,SUPPLIER_NAME,STOCK_QUANTITY,WEIGHT_KG,IS_ACTIVE,CREATED_DATE
PROD-001,Enterprise Data Platform License,SOFTWARE,PLATFORM,15000.00,5000.00,DataCorp Inc,NULL,0.00,TRUE,2023-01-15
PROD-002,Cloud Storage 1TB Annual,CLOUD_SERVICES,STORAGE,1200.00,800.00,CloudVault LLC,NULL,0.00,TRUE,2023-02-20
PROD-003,ETL Pipeline Connector,SOFTWARE,INTEGRATION,2500.00,1000.00,PipelineWorks,NULL,0.00,TRUE,2023-03-10
PROD-004,Data Quality Monitor Pro,SOFTWARE,MONITORING,3500.00,1200.00,QualityFirst Inc,NULL,0.00,TRUE,2023-04-05
PROD-005,Laptop - Developer Edition,HARDWARE,COMPUTER,2800.00,1800.00,TechHardware Co,150,2.10,TRUE,2023-05-12
PROD-006,Server Rack Unit,HARDWARE,INFRASTRUCTURE,8500.00,5500.00,ServerPro Ltd,25,45.00,TRUE,2023-06-18
PROD-007,Network Switch 48-Port,HARDWARE,NETWORKING,1200.00,750.00,NetGear Pro,80,3.50,TRUE,2023-07-22
PROD-008,SSD 2TB NVMe,HARDWARE,STORAGE,350.00,200.00,StorageTech,500,0.05,TRUE,2023-08-30
PROD-009,Consultation - 1 Hour,SERVICES,CONSULTING,500.00,150.00,Internal,NULL,0.00,TRUE,2023-09-14
PROD-010,Training Workshop - 1 Day,SERVICES,TRAINING,2000.00,600.00,Internal,NULL,0.00,TRUE,2023-10-25
PROD-011,API Gateway License,SOFTWARE,INTEGRATION,4500.00,1500.00,GatewayTech,NULL,0.00,TRUE,2023-11-08
PROD-012,Monitoring Dashboard Suite,SOFTWARE,MONITORING,1800.00,700.00,DashViz Inc,NULL,0.00,FALSE,2023-12-01
